,Location,Price,Apt Type,Num of Bath,Neighborhood,District
0,"530 West 50th Street, Apt 2 RE...","4,500",2 Bed,1,Hell's Kitchen, Midtown Manhattan
1,"524 West 50th Street, Apt 2B","2,395",Studio,1,Hell's Kitchen, Midtown Manhattan
2,37 1/2 Bedford St,"3,200",Studio,1,West Village, Downtown Manhattan
3,"96 5th Avenue, Apt 12A","5,750","1 Bed
/ Flex 2",1,Flatiron District, Midtown Manhattan
4,"1 Astor Place, Apt 6V","4,750",1 Bed,1,NoHo, Downtown Manhattan
5,767 Ninth Avenue,"3,375",1 Bed,1,Hell's Kitchen, Midtown Manhattan
6,"625 East 14th Street, Apt OMK","3,850",1 Bed,1,Stuyvesant Town - Peter Cooper Village, Midtown Manhattan
7,310 West 137th Street,"3,425",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
8,"171 East 89th Street, Apt 9B","3,700",1 Bed,1,Upper East Side, Upper Manhattan
9,"392 Central Park West, Apt 7H","5,995",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
10,"95 Wall Street, Apt 313","3,889",Studio,1,Financial District, Downtown Manhattan
11,"808 Columbus Ave, Apt 10B","7,042",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
12,"95 Wall Street, Apt 801","3,919",Studio,1,Financial District, Downtown Manhattan
13,"116 John Street, Apt 1606","5,454",3 Bed,2,Financial District, Downtown Manhattan
14,145 4th Avenue,"5,300",1 Bed,1,Greenwich Village, Downtown Manhattan
15,"334 East 93 Street, Apt 11","2,350",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
16,"13 East 7th Street, Apt 34","7,800",3 Bed,2,East Village, Downtown Manhattan
17,"60 East 12th Street, Apt 10J","5,700",1 Bed,1,Greenwich Village, Downtown Manhattan
18,117 West 13th Street,"3,900",1 Bed,1,West Village, Downtown Manhattan
19,"808 Columbus Avenue, Apt 06M","7,779",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
20,"747 10th Avenue, Apt 24H","4,300","2 Bed
/ Flex 3",1,Hell's Kitchen, Midtown Manhattan
21,"746 9th Avenue, Apt 5C","4,261",2 Bed,1.5,Hell's Kitchen, Midtown Manhattan
22,117 West 13th Street,"3,900",1 Bed,1,West Village, Downtown Manhattan
23,"808 Columbus Avenue, Apt 06M","7,779",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
24,235 West 18th Street,"4,650",1 Bed,1,Chelsea, Midtown Manhattan
25,629 East 5th Street,"5,825",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
26,East 3rd Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
27,"335 East 92 Street, Apt 4D","2,300",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
28,East 46th Street,"3,499",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
29,"402 East 83rd Street, Apt 5B","3,000",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
30,"365 West 52nd Street, Apt 3J","3,795",2 Bed,1,Hell's Kitchen, Midtown Manhattan
31,"147 Grand Street, Apt 2E","6,995",4 Bed,1,SoHo, Downtown Manhattan
32,236 East 36th Street,"2,900",Studio,1,Murray Hill, Midtown Manhattan
33,"502 East 88th Street, Apt 5B","2,500",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
34,West 51st Street,"7,495",4 Bed,2,Hell's Kitchen, Midtown Manhattan
35,"116 John Street, Apt 2409","2,888",Studio,1,Financial District, Downtown Manhattan
36,"145 East 26th Street, Apt 4D","3,595",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
37,West 37th Street,"5,700","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
38,West 37th Street,"3,150",Studio,1,Hudson Yards, Midtown Manhattan
39,"147 Grand Street, Apt 4W","6,695",3 Bed,1,SoHo, Downtown Manhattan
40,"401 E 34th St, Apt N21H","7,210",2 Bed,2,Murray Hill, Midtown Manhattan
41,"10 Hanover Square, Apt 16X","3,398",Studio,1,Financial District, Downtown Manhattan
42,117 West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
43,West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
44,"10 Hanover Square, Apt 16X","3,398",Studio,1,Financial District, Downtown Manhattan
45,West 37th Street,"5,690","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
46,West 31st Street,"4,250",1 Bed,1,"Koreatown, Midtown South", Midtown Manhattan
47,"1 Astor Place, Apt 2S","3,600",Studio,1,NoHo, Downtown Manhattan
48,"116 John Street, Apt 1505","4,120","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
49,"210 East 25th Street, Apt 3RW","3,750",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
50,"109 Eldridge Street, Apt 7","3,116",2 Bed,1,Bowery, Downtown Manhattan
51,East 3rd Street,"5,995","2 Bed
/ Flex 3",1,"Alphabet City, East Village", Downtown Manhattan
52,"301 West 141st Street, Apt 3C","2,495","2 Bed
/ Flex 3",1,"Central Harlem, Harlem", Upper Manhattan
53,"120 W. 21st, Apt 502","4,697",1 Bed,1,Chelsea, Midtown Manhattan
54,"147 Grand Street, Apt 2","6,200","2 Bed
/ Flex 4",1,SoHo, Downtown Manhattan
55,"75 West End Ave, Apt C17I","6,900",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
56,"117 West 13th Street, Apt 49","3,900",1 Bed,1,West Village, Downtown Manhattan
57,East 16th Street/Union Square,"5,650",1 Bed,1,Gramercy Park, Midtown Manhattan
58,East 3rd Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
59,East 7th Street,"6,895",4 Bed,1.5,East Village, Downtown Manhattan
60,"401 E 34th St, Apt S28F","5,846",1 Bed,1,Murray Hill, Midtown Manhattan
61,"415 East 73 Street, Apt 6E","2,200",Studio,1,Upper East Side, Upper Manhattan
62,"45 Tiemann Place, Apt 6A","3,100",1 Bed,1,"Morningside Heights, West Harlem, Harlem", Upper Manhattan
63,"75 West End Ave, Apt P6M","3,175",Studio,1,"Lincoln Square, Upper West Side", Upper Manhattan
64,Pearl St,"3,780",Studio,1,Financial District, Downtown Manhattan
65,Wall Street,"3,277",Studio,1,Financial District, Downtown Manhattan
66,"75 West End Ave, Apt P6M","3,175",Studio,1,"Lincoln Square, Upper West Side", Upper Manhattan
67,East 23rd Street,"3,195",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
68,West 79th Street,"4,850",1 Bed,1,Upper West Side, Upper Manhattan
69,"222 East 3rd Street, Apt 1A","4,495","1 Bed
/ Flex 2",1,"Alphabet City, East Village", Downtown Manhattan
70,West 37th Street,"5,950","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
71,Park Row,"2,995","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
72,West 42nd Street,"5,195","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
73,"41 Bedford Street, Apt 3C","3,100",Studio,1,West Village, Downtown Manhattan
74,"235 East 46th Street, Apt 2","3,750",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
75,East 23rd Street,"7,495",4 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
76,"200 East 64th Street, Apt 10B","7,100",3 Bed,2,Upper East Side, Upper Manhattan
77,"400 East 71st Street, Apt 15K","3,900",1 Bed,1,Upper East Side, Upper Manhattan
78,Ann Street,"3,385","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
79,"257 West 113th Street, Apt 402...","2,300",Studio,1,"Central Harlem, Harlem", Upper Manhattan
80,West 50th Street,"7,995",4 Bed,2,Hell's Kitchen, Midtown Manhattan
81,"75 West End Ave, Apt P3I","4,000",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
82,Broad and Wall Street,"4,200",1 Bed,1,Financial District, Downtown Manhattan
83,Water Street (FiDi),"2,950",Studio,1,Financial District, Downtown Manhattan
84,Water Street (FiDi),"2,950",Studio,1,Financial District, Downtown Manhattan
85,"436 East 89th Street, Apt 5C","2,695",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
86,West 68th Street,"3,295",Studio,1,"Lincoln Square, Upper West Side", Upper Manhattan
87,West End Ave & 62nd Street,"3,175",Studio,1,"Lincoln Square, Upper West Side", Upper Manhattan
88,Water Street (FiDi),"2,950",Studio,1,Financial District, Downtown Manhattan
89,Water Street (FiDi),"2,950",Studio,1,Financial District, Downtown Manhattan
90,"436 East 89th Street, Apt 5C","2,695",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
91,"106 West 105th Street, Apt 19","4,987",5 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
92,"120 W. 21st, Apt 1508","5,282",1 Bed,1,Chelsea, Midtown Manhattan
93,"333 East 54th Street, Apt 4C","2,650",Studio,1,"Sutton Place, Midtown East", Midtown Manhattan
94,West 120th Street,"2,150",Studio,1,"Central Harlem, Harlem", Upper Manhattan
95,"10 Hanover Square, Apt 05A","6,968",2 Bed,2,Financial District, Downtown Manhattan
96,"333 East 102nd Street, Apt 718...","4,335",3 Bed,2,"East Harlem, Harlem", Upper Manhattan
97,Fulton Street,"2,600",Studio,1,Financial District, Downtown Manhattan
98,"248 Mott Street, Apt 56","7,150",3 Bed,2,NoLita, Downtown Manhattan
99,Wall Street,"3,000","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
100,"284 5th Avenue, Apt 4E","4,095",1 Bed,1,NoMad, Midtown Manhattan
101,west 62nd st,"9,754",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
102,East 18th Street,"6,295",3 Bed,1,Gramercy Park, Midtown Manhattan
103,"7 East 75th Street, Apt 1C","4,195",1 Bed,1,Upper East Side, Upper Manhattan
104,"227 West 77th Street, Apt H","5,262",1 Bed,1,Upper West Side, Upper Manhattan
105,East 39th Street,"7,700",3 Bed,2,Murray Hill, Midtown Manhattan
106,"225 East 82nd Street, Apt 7B","2,695",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
107,Wall Street,"3,295",Studio,2.5,Financial District, Downtown Manhattan
108,Battery Place,"2,650","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
109,"7 East 75th Street, Apt 1C","4,195",1 Bed,1,Upper East Side, Upper Manhattan
110,"227 West 77th Street, Apt H","5,262",1 Bed,1,Upper West Side, Upper Manhattan
111,East 39th Street,"7,700",3 Bed,2,Murray Hill, Midtown Manhattan
112,"225 East 82nd Street, Apt 7B","2,695",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
113,"310 West 20th Street, Apt B4","1,750",Studio,1,Chelsea, Midtown Manhattan
114,"438 West 52nd Street, Apt 13E","4,595",2 Bed,1,Hell's Kitchen, Midtown Manhattan
115,East 28th Street,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
116,"120 West 86th Street, Apt 12B","14,000",4 Bed,3,Upper West Side, Upper Manhattan
117,"210 East 25th Street, Apt 1FW","4,495",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
118,East 14th Street,"9,200",3 Bed,1,Greenwich Village, Downtown Manhattan
119,10th Avenue,"7,750",2 Bed,2,Hell's Kitchen, Midtown Manhattan
120,"95 Wall Street, Apt 1020","3,853",Studio,1,Financial District, Downtown Manhattan
121,"236 East 36th Street, Apt LOBD...","3,825",1 Bed,1,Murray Hill, Midtown Manhattan
122,River Place,"5,799",2 Bed,2,Hudson Yards, Midtown Manhattan
123,"95 Wall Street, Apt 1003","3,958",Studio,1,Financial District, Downtown Manhattan
124,"75 West End Ave, Apt S18D","5,900",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
125,"151 Rivington Street, Apt 3","5,995",3 Bed,1,Lower East Side, Downtown Manhattan
126,824 9th Avenue,"3,125",1 Bed,1,Hell's Kitchen, Midtown Manhattan
127,"1 Columbus Place, Apt S46A","6,450",2 Bed,2,Hell's Kitchen, Midtown Manhattan
128,270 West 139th Street,"2,175",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
129,East 65th Street,"4,499",1 Bed,2,Upper East Side, Upper Manhattan
130,East 63rd Street,"4,500",1 Bed,1,Upper East Side, Upper Manhattan
131,"232 West 14th Street, Apt 1A","4,995",Studio,1,West Village, Downtown Manhattan
132,"209 East 25th Street, Apt 4F","3,895",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
133,"1 Columbus Place, Apt S46A","6,450",2 Bed,2,Hell's Kitchen, Midtown Manhattan
134,270 West 139th Street,"2,175",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
135,East 34th Street,"3,945","1 Bed
/ Flex 2",1,Kips Bay, Midtown Manhattan
136,"235 East 46th Street, Apt 202","3,795",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
137,1st Avenue,"6,995","2 Bed
/ Flex 3",2,Murray Hill, Midtown Manhattan
138,"207 West 11th Street, Apt B1","4,800",2 Bed,1,West Village, Downtown Manhattan
139,"219 East 23rd Street, Apt 16","3,150",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
140,"214 East 58th Street, Apt 1J","3,850",2 Bed,1,Midtown East, Midtown Manhattan
141,East 29th Street,"6,995",2 Bed,2,NoMad, Midtown Manhattan
142,"808 Columbus Avenue, Apt 18K","4,288",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
143,Sixth Ave and West 34th Street...,"4,750","1 Bed
/ Flex 3",1,"Koreatown, Midtown South", Midtown Manhattan
144,"151 Allen Street, Apt 6F","2,300",Studio,1,Bowery, Downtown Manhattan
145,"116 John Street, Apt 1606","5,454","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
146,"1 Columbus Place, Apt N6E","6,300",2 Bed,2,Hell's Kitchen, Midtown Manhattan
147,West 23rd Street,"2,700",Studio,1,Chelsea, Midtown Manhattan
148,Financial District,"6,995",2 Bed,2,Financial District, Downtown Manhattan
149,"460 West 42nd Street, Apt 55A","5,600",1 Bed,1,Hudson Yards, Midtown Manhattan
150,"389 East 89th Street, Apt 22C","9,000",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
151,Horatio Street,"4,845",Studio,1,West Village, Downtown Manhattan
152,Greenwich Street,"4,695","Studio
/ Flex 2",1,West Village, Downtown Manhattan
153,"265 Bowery, Apt 2","12,000",2 Bed,2,Bowery, Downtown Manhattan
154,"389 East 89th Street, Apt 22C","9,000",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
155,Sixth Ave and West 34th Street...,"4,750","1 Bed
/ Flex 3",1,"Koreatown, Midtown South", Midtown Manhattan
156,West 47th Street,"2,495",1 Bed,1,Hell's Kitchen, Midtown Manhattan
157,"151 East 30th Street, Apt 1N","4,307",2 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
158,"446 West 55th Street, Apt 2S","3,288",1 Bed,1,Hell's Kitchen, Midtown Manhattan
159,"801 Amsterdam Avenue, Apt 11H","3,793",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
160,East 78th Street,"2,063",Studio,1,Upper East Side, Upper Manhattan
161,"20 Prince Street, Apt 35","4,995",2 Bed,1,NoLita, Downtown Manhattan
162,"416 East 13th Street, Apt 4C","4,195",2 Bed,1,East Village, Downtown Manhattan
163,East 89th Street,"2,899",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
164,Tenth Avenue,"4,700",1 Bed,1,Hudson Yards, Midtown Manhattan
165,"700 Ft Washington Avenue, Apt ...","4,100",3 Bed,1.5,"Hudson Heights, Washington Heights", Upper Manhattan
166,Broad Street,"2,995",Studio,1,Financial District, Downtown Manhattan
167,Spruce Street,"4,995",1 Bed,1,Financial District, Downtown Manhattan
168,East 12th Street,"4,700",3 Bed,1,East Village, Downtown Manhattan
169,East 13th Street,"4,395",2 Bed,1,East Village, Downtown Manhattan
170,"227 West 77th Street, Apt J","3,595",Studio,1,Upper West Side, Upper Manhattan
171,East 38th Street,"4,395","1 Bed
/ Flex 2",1.5,Murray Hill, Midtown Manhattan
172,10th Avenue,"3,150",Studio,1,Hudson Yards, Midtown Manhattan
173,265 Bowery,"12,000",2 Bed,2,Bowery, Downtown Manhattan
174,"171 Chrystie Street, Apt PHA","11,000",2 Bed,2,Bowery, Downtown Manhattan
175,10th Avenue,"3,150",Studio,1,Hudson Yards, Midtown Manhattan
176,"795 Columbus Avenue, Apt 15F","3,888",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
177,"692 10th Avenue, Apt 5C","5,500",3 Bed,1,Hell's Kitchen, Midtown Manhattan
178,"493 2nd Avenue, Apt 14","3,295",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
179,West 33rd Street,"3,850","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
180,East 57th Street,"5,300","2 Bed
/ Flex 3",1,Midtown East, Midtown Manhattan
181,"115 Mulberry Street, Apt 1AR","4,795",2 Bed,1,Little Italy, Downtown Manhattan
182,Orchard Street,"3,995",2 Bed,1,Lower East Side, Downtown Manhattan
183,Mulberry Street,"4,795",2 Bed,1,Little Italy, Downtown Manhattan
184,"1399 Park Avenue, Apt 6G","2,650",Studio,1,"East Harlem, Harlem", Upper Manhattan
185,"1274 5 Avenue, Apt 504","4,250",3 Bed,1,"East Harlem, Harlem", Upper Manhattan
186,"95 Wall Street, Apt 925","3,839",Studio,1,Financial District, Downtown Manhattan
187,"214 East 51st Street, Apt 110","3,750",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
188,"588 Amsterdam Avenue, Apt 3FN","6,000",3 Bed,2,Upper West Side, Upper Manhattan
189,East 72nd Street,"3,950","1 Bed
/ Flex 2",1,Upper East Side, Upper Manhattan
190,E.59th St & 1st Ave,"3,600",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
191,"1510 Lexington Avenue, Apt PHS...","2,800",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
192,Waverly Place,"2,800",Studio,1,Greenwich Village, Downtown Manhattan
193,322 West 57th Street,"8,500",2 Bed,2,Hell's Kitchen, Midtown Manhattan
194,"20 Prince Street, Apt 27","4,995",2 Bed,1,NoLita, Downtown Manhattan
195,10th Avenue,"2,954",Studio,1,Hudson Yards, Midtown Manhattan
196,Flex 1 - West 35th Street,"3,245","Studio
/ Flex 1",1,Hudson Yards, Midtown Manhattan
197,"20 Prince Street, Apt 27","4,995",2 Bed,1,NoLita, Downtown Manhattan
198,West 181st Street,"2,150",Studio,1,"Hudson Heights, Washington Heights", Upper Manhattan
199,East 34th Street,"5,400",3 Bed,1.5,Murray Hill, Midtown Manhattan
200,"125 West 31st Street, Apt 15J","4,325",1 Bed,1,Midtown South, Midtown Manhattan
201,518 East 83rd Street,"2,875",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
202,East 34th Street,"3,890",2 Bed,1,Murray Hill, Midtown Manhattan
203,"1654 Third Avenue, Apt 13","2,400",Studio,1,Upper East Side, Upper Manhattan
204,"344 East 9th Street, Apt 3","2,799",1 Bed,1,East Village, Downtown Manhattan
205,West 57th Street,"5,450","2 Bed
/ Flex 3",2,Hell's Kitchen, Midtown Manhattan
206,"57 Carmine Street, Apt 1D","2,800",Studio,1,West Village, Downtown Manhattan
207,"1160 5th Avenue, Apt 311","5,042",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
208,"520 East 11th Street, Apt 6","3,990",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
209,"1 Astor Place, Apt 2S","3,600",Studio,1,NoHo, Downtown Manhattan
210,"808 Columbus Avenue, Apt 10E","4,761",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
211,E.29thst and 3rd avenue,"3,050",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
212,"2 Gold Street, Apt 2008","4,105","1 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
213,280 Lenox Avenue,"5,950",4 Bed,1,"Central Harlem, Harlem", Upper Manhattan
214,"45 Wall Street, Apt 1401","4,295",1 Bed,1,Financial District, Downtown Manhattan
215,"95 Wall Street, Apt 1218","3,398",Studio,1,Financial District, Downtown Manhattan
216,Prince Street & Mott St,"4,995",2 Bed,1,NoLita, Downtown Manhattan
217,Prince Street,"5,495",2 Bed,1,NoLita, Downtown Manhattan
218,"95 Wall Street, Apt 1218","3,398",Studio,1,Financial District, Downtown Manhattan
219,"81 Orchard Street, Apt 18","4,795",3 Bed,1,Lower East Side, Downtown Manhattan
220,"445 East 85 Street, Apt 5B","2,900",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
221,"808 Columbus Ave, Apt 07F","4,732",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
222,58th St & 2nd Ave,"4,495",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
223,"2 Gold Street, Apt 1012","4,070","1 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
224,"95 Wall Street, Apt 721","4,246",Studio,1,Financial District, Downtown Manhattan
225,West Street & Battery Pl,"4,000",1 Bed,1,Financial District, Downtown Manhattan
226,Prime Upper East 90's,"4,695",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
227,West 37th Street,"5,995","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
228,Copy of Copy of Wall Street,"6,995","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
229,"134 Orchard Street, Apt #6","4,195",2 Bed,1,Lower East Side, Downtown Manhattan
230,W 14th St.,"5,895",3 Bed,1,West Village, Downtown Manhattan
231,"808 Columbus Ave, Apt 03B","7,091",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
232,Wall Street,"4,700",1 Bed,2,Financial District, Downtown Manhattan
233,East 80th Street,"2,800",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
234,"45 Wall Street, Apt 604","3,130",Studio,1,Financial District, Downtown Manhattan
235,E 9th St.,"5,495",3 Bed,1,East Village, Downtown Manhattan
236,"160 Riverside Boulevard, Apt 1...","4,253",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
237,East 5th Street,"6,995",4 Bed,1.5,East Village, Downtown Manhattan
238,Exchange Place,"3,300",Studio,1,Financial District, Downtown Manhattan
239,Exchange Place,"3,025",Studio,1,Financial District, Downtown Manhattan
240,"808 Columbus Avenue, Apt PH3K","4,316",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
241,Gold Street,"6,495","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
242,west 60th st,"4,495",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
243,306 East 83rd Street,"4,500",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
244,"808 Columbus Avenue, Apt 23P","3,995",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
245,East 79th Street,"7,250",3 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
246,Mercer Street,"4,700",2 Bed,1,Greenwich Village, Downtown Manhattan
247,"95 Wall Street, Apt 1702","3,828",Studio,1,Financial District, Downtown Manhattan
248,East 2nd street,"3,350",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
249,"247 West 46th Street, Apt 3204...","7,150",2 Bed,1,"Theater District, Midtown", Midtown Manhattan
250,East 13th St & Ave A *NO-FEE* ...,"3,495",1 Bed,1,East Village, Downtown Manhattan
251,"225 East 79th Street, Apt 1C","2,575",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
252,Columbus Circle,"6,900","2 Bed
/ Flex 3",2,Hell's Kitchen, Midtown Manhattan
253,"53 Irving Place, Apt 2","3,300",Studio,1,Gramercy Park, Midtown Manhattan
254,East 57th Street,"5,399",1 Bed,1,Midtown East, Midtown Manhattan
255,East 39th Street,"7,650",4 Bed,2,Murray Hill, Midtown Manhattan
256,"14 Bedford Street, Apt 1","4,995",3 Bed,1.5,West Village, Downtown Manhattan
257,"95 Wall Street, Apt 1810","3,995",Studio,1,Financial District, Downtown Manhattan
258,East 27th Street,"5,350","2 Bed
/ Flex 3",1.5,"Rose Hill, Kips Bay", Midtown Manhattan
259,Pine St,"6,215",2 Bed,2,Financial District, Downtown Manhattan
260,"750 Columbus Ave., Apt PHSB","3,876",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
261,W 100th St and Columbus Ave,"3,943",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
262,Pine St,"6,215",2 Bed,2,Financial District, Downtown Manhattan
263,First Avenue,"2,450",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
264,"207 East 37th Street, Apt 2D","2,850",Studio,1,Murray Hill, Midtown Manhattan
265,"95 Wall Street, Apt 625","4,043",Studio,1,Financial District, Downtown Manhattan
266,West Village - Christopher Str...,"6,900",1 Bed,1,West Village, Downtown Manhattan
267,"808 Columbus Ave, Apt 23H","8,409",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
268,"95 Wall Street, Apt 206","4,180",1 Bed,1,Financial District, Downtown Manhattan
269,John Street,"3,400","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
270,"45 Wall Street, Apt 1722","8,310",3 Bed,2.5,Financial District, Downtown Manhattan
271,East 25 Street,"4,995",2 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
272,"19 Dutch Street, Apt 31D","3,500",Studio,1,Financial District, Downtown Manhattan
273,East 33rd Street,"5,795",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
274,"795 Columbus Avenue, Apt 09N","4,507",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
275,"96 5th Avenue, Apt 4F","8,908",3 Bed,3,Flatiron District, Midtown Manhattan
276,East 26th Street,"12,995",4 Bed,4.5,"Rose Hill, Kips Bay", Midtown Manhattan
277,"345 West 53rd Street, Apt 4C","2,895",1 Bed,1,Hell's Kitchen, Midtown Manhattan
278,East 23rd Street & 3rd Ave *NO...,"3,150",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
279,West 34th Street,"4,882","1 Bed
/ Flex 3",1,"Koreatown, Midtown South", Midtown Manhattan
280,336 West 46th Street,"2,975",1 Bed,1,Hell's Kitchen, Midtown Manhattan
281,Prince Street,"4,995",2 Bed,1,NoLita, Downtown Manhattan
282,West Street,"5,800",2 Bed,2,Financial District, Downtown Manhattan
283,Pearl Street,"5,900","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
284,Prince Street,"4,995",2 Bed,1,NoLita, Downtown Manhattan
285,"219 East 28th Street, Apt 1A","3,195",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
286,"301 East 38th Street, Apt 10G","2,995",1 Bed,1,Murray Hill, Midtown Manhattan
287,"2 Gold Street, Apt 2610","3,330",Studio,1,Financial District, Downtown Manhattan
288,Water Street,"5,362","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
289,41 West 89th Street,"4,475",1 Bed,1,Upper West Side, Upper Manhattan
290,West 55th street,"4,250",2 Bed,2,Hell's Kitchen, Midtown Manhattan
291,"339 East 77 Street, Apt 1A","2,300",Studio,1,Upper East Side, Upper Manhattan
292,"Copy of 284 Mott Street, Unit ...","7,495",3 Bed,2,NoLita, Downtown Manhattan
293,"95 Wall Street, Apt 1603","3,958",Studio,1,Financial District, Downtown Manhattan
294,West 37th Street,"3,995","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
295,"347 East 76 Street, Apt 4D","2,400",Studio,1,Upper East Side, Upper Manhattan
296,East 3rd Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
297,Waverly Place,"5,600",2 Bed,1,West Village, Downtown Manhattan
298,"795 Columbus Avenue, Apt 16F","3,943",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
